target_step_seconds,cell_i0,cell_i1,alpha,stage,variable,target_value,scale,weight
30499200,79,80,0,2,PO4,0.548918308,2.525024217,0.04347826087
648000,13,14,0,2,SPM,0.5635,0.229525,0.0119047619
648000,79,80,0,2,SPM,0.043,0.229525,0.0119047619
864000,23,24,0,2,SPM,0.074,0.229525,0.0119047619
1065600,58,59,0,2,SPM,0.049333,0.229525,0.0119047619
1094400,36,37,0,2,SPM,0.135333,0.229525,0.0119047619
1209600,1,1,0,2,SPM,0.182,0.229525,0.0119047619
1209600,45,46,0,2,SPM,0.104,0.229525,0.0119047619
3628800,1,1,0,2,SPM,0.163,0.229525,0.0119047619
3628800,45,46,0,2,SPM,0.075,0.229525,0.0119047619
3715200,58,59,0,2,SPM,0.071,0.229525,0.0119047619
3758400,36,37,0,2,SPM,0.09575,0.229525,0.0119047619
3888000,23,24,0,2,SPM,0.0375,0.229525,0.0119047619
4233600,13,14,0,2,SPM,0.595,0.229525,0.0119047619
4233600,79,80,0,2,SPM,0.05225,0.229525,0.0119047619
6350400,23,24,0,2,SPM,0.0295,0.229525,0.0119047619
6825600,13,14,0,2,SPM,0.30325,0.229525,0.0119047619
6825600,79,80,0,2,SPM,0.068,0.229525,0.0119047619
6847200,36,37,0,2,SPM,0.05875,0.229525,0.0119047619
6847200,58,59,0,2,SPM,0.0525,0.229525,0.0119047619
7344000,1,1,0,2,SPM,0.31,0.229525,0.0119047619
7344000,45,46,0,2,SPM,0.0285,0.229525,0.0119047619
9244800,23,24,0,2,SPM,0.093,0.229525,0.0119047619
9417600,13,14,0,2,SPM,0.344,0.229525,0.0119047619
9417600,79,80,0,2,SPM,0.0425,0.229525,0.0119047619
9655200,36,37,0,2,SPM,0.057,0.229525,0.0119047619
9655200,58,59,0,2,SPM,0.052,0.229525,0.0119047619
10108800,1,1,0,2,SPM,0.349,0.229525,0.0119047619
10108800,45,46,0,2,SPM,0.0795,0.229525,0.0119047619
11577600,23,24,0,2,SPM,0.0915,0.229525,0.0119047619
12182400,13,14,0,2,SPM,0.206,0.229525,0.0119047619
12182400,36,37,0,2,SPM,0.06425,0.229525,0.0119047619
12182400,79,80,0,2,SPM,0.05025,0.229525,0.0119047619
12225600,58,59,0,2,SPM,0.05325,0.229525,0.0119047619
12787200,1,1,0,2,SPM,0.186,0.229525,0.0119047619
12787200,45,46,0,2,SPM,0.0365,0.229525,0.0119047619
13996800,23,24,0,2,SPM,0.045,0.229525,0.0119047619
14601600,13,14,0,2,SPM,0.161,0.229525,0.0119047619
14601600,36,37,0,2,SPM,0.047,0.229525,0.0119047619
14601600,79,80,0,2,SPM,0.042,0.229525,0.0119047619
14644800,58,59,0,2,SPM,0.05325,0.229525,0.0119047619
15206400,1,1,0,2,SPM,0.1865,0.229525,0.0119047619
15206400,45,46,0,2,SPM,0.0805,0.229525,0.0119047619
16588800,23,24,0,2,SPM,0.035,0.229525,0.0119047619
17107200,13,14,0,2,SPM,0.0855,0.229525,0.0119047619
17107200,58,59,0,2,SPM,0.05025,0.229525,0.0119047619
17107200,79,80,0,2,SPM,0.02,0.229525,0.0119047619
17150400,36,37,0,2,SPM,0.05475,0.229525,0.0119047619
17712000,1,1,0,2,SPM,0.245,0.229525,0.0119047619
17712000,45,46,0,2,SPM,0.041,0.229525,0.0119047619
19612800,23,24,0,2,SPM,0.055667,0.229525,0.0119047619
19699200,13,14,0,2,SPM,0.05875,0.229525,0.0119047619
19699200,79,80,0,2,SPM,0.0265,0.229525,0.0119047619
19889280,36,37,0,2,SPM,0.0606,0.229525,0.0119047619
19889280,58,59,0,2,SPM,0.0278,0.229525,0.0119047619
20304000,1,1,0,2,SPM,0.141,0.229525,0.0119047619
20304000,45,46,0,2,SPM,0.0495,0.229525,0.0119047619
22161600,13,14,0,2,SPM,0.2185,0.229525,0.0119047619
22161600,79,80,0,2,SPM,0.04275,0.229525,0.0119047619
22550400,23,24,0,2,SPM,0.12,0.229525,0.0119047619
22694400,58,59,0,2,SPM,0.046667,0.229525,0.0119047619
22723200,36,37,0,2,SPM,0.050667,0.229525,0.0119047619
22809600,1,1,0,2,SPM,0.1295,0.229525,0.0119047619
22809600,45,46,0,2,SPM,0.0505,0.229525,0.0119047619
24278400,1,1,0,2,SPM,0.132,0.229525,0.0119047619
24278400,45,46,0,2,SPM,0.0475,0.229525,0.0119047619
24343200,36,37,0,2,SPM,0.061,0.229525,0.0119047619
24364800,58,59,0,2,SPM,0.0495,0.229525,0.0119047619
24494400,23,24,0,2,SPM,0.08,0.229525,0.0119047619
24883200,13,14,0,2,SPM,0.083,0.229525,0.0119047619
24883200,79,80,0,2,SPM,0.01475,0.229525,0.0119047619
27129600,1,1,0,2,SPM,0.0695,0.229525,0.0119047619
27129600,45,46,0,2,SPM,0.0475,0.229525,0.0119047619
27336960,58,59,0,2,SPM,0.035,0.229525,0.0119047619
27354240,36,37,0,2,SPM,0.0372,0.229525,0.0119047619
27504000,23,24,0,2,SPM,0.031333,0.229525,0.0119047619
27561600,13,14,0,2,SPM,0.3075,0.229525,0.0119047619
27561600,79,80,0,2,SPM,0.037,0.229525,0.0119047619
29289600,1,1,0,2,SPM,0.1515,0.229525,0.0119047619
29289600,45,46,0,2,SPM,0.0485,0.229525,0.0119047619
29491200,58,59,0,2,SPM,0.028667,0.229525,0.0119047619
29520000,36,37,0,2,SPM,0.098667,0.229525,0.0119047619
29894400,13,14,0,2,SPM,0.23425,0.229525,0.0119047619
29894400,79,80,0,2,SPM,0.0215,0.229525,0.0119047619
29980800,23,24,0,2,SPM,0.089,0.229525,0.0119047619
777600,58,59,0,3,Chla_ugL,2.5,26.542,0.04347826087
864000,23,24,0,3,Chla_ugL,1,26.542,0.0652173913
864000,36,37,0,3,Chla_ugL,16.62,26.542,0.1304347826
3196800,58,59,0,3,Chla_ugL,1,26.542,0.04347826087
3283200,23,24,0,3,Chla_ugL,1.75,26.542,0.0652173913
3283200,36,37,0,3,Chla_ugL,110.69,26.542,0.1304347826
4406400,58,59,0,3,Chla_ugL,2.2,26.542,0.04347826087
4492800,23,24,0,3,Chla_ugL,2.49,26.542,0.0652173913
4492800,36,37,0,3,Chla_ugL,53.35,26.542,0.1304347826
5702400,23,24,0,3,Chla_ugL,2.3,26.542,0.0652173913
5702400,36,37,0,3,Chla_ugL,63.57,26.542,0.1304347826
5788800,58,59,0,3,Chla_ugL,7.5,26.542,0.04347826087
6912000,58,59,0,3,Chla_ugL,6,26.542,0.04347826087
6998400,23,24,0,3,Chla_ugL,2.99,26.542,0.0652173913
6998400,36,37,0,3,Chla_ugL,147.34,26.542,0.1304347826
8553600,23,24,0,3,Chla_ugL,1.87,26.542,0.0652173913
8553600,36,37,0,3,Chla_ugL,83.43,26.542,0.1304347826
8640000,58,59,0,3,Chla_ugL,17.5,26.542,0.04347826087
9763200,58,59,0,3,Chla_ugL,2.5,26.542,0.04347826087
9849600,36,37,0,3,Chla_ugL,74.29,26.542,0.1304347826
9936000,23,24,0,3,Chla_ugL,2.49,26.542,0.0652173913
10972800,23,24,0,3,Chla_ugL,2.99,26.542,0.0652173913
10972800,36,37,0,3,Chla_ugL,111.19,26.542,0.1304347826
11059200,58,59,0,3,Chla_ugL,2.7,26.542,0.04347826087
12182400,23,24,0,3,Chla_ugL,3.37,26.542,0.0652173913
12182400,36,37,0,3,Chla_ugL,13.96,26.542,0.1304347826
12268800,58,59,0,3,Chla_ugL,1.5,26.542,0.04347826087
13392000,23,24,0,3,Chla_ugL,1.5,26.542,0.0652173913
13392000,36,37,0,3,Chla_ugL,19.84,26.542,0.1304347826
13478400,58,59,0,3,Chla_ugL,1.1,26.542,0.04347826087
14601600,23,24,0,3,Chla_ugL,1.5,26.542,0.0652173913
14601600,36,37,0,3,Chla_ugL,6.65,26.542,0.1304347826
14688000,58,59,0,3,Chla_ugL,2.1,26.542,0.04347826087
15811200,58,59,0,3,Chla_ugL,0.5,26.542,0.04347826087
15897600,23,24,0,3,Chla_ugL,2.14,26.542,0.0652173913
15897600,36,37,0,3,Chla_ugL,2.49,26.542,0.1304347826
17193600,58,59,0,3,Chla_ugL,1.4,26.542,0.04347826087
17280000,23,24,0,3,Chla_ugL,0.5,26.542,0.0652173913
17280000,36,37,0,3,Chla_ugL,7.31,26.542,0.1304347826
18403200,58,59,0,3,Chla_ugL,0.2,26.542,0.04347826087
18489600,23,24,0,3,Chla_ugL,1.33,26.542,0.0652173913
18489600,36,37,0,3,Chla_ugL,4.32,26.542,0.1304347826
19612800,23,24,0,3,Chla_ugL,1,26.542,0.0652173913
19612800,36,37,0,3,Chla_ugL,7.98,26.542,0.1304347826
19612800,58,59,0,3,Chla_ugL,0,26.542,0.04347826087
20736000,23,24,0,3,Chla_ugL,1.5,26.542,0.0652173913
20736000,36,37,0,3,Chla_ugL,3.99,26.542,0.1304347826
20822400,58,59,0,3,Chla_ugL,0,26.542,0.04347826087
22464000,58,59,0,3,Chla_ugL,0,26.542,0.04347826087
22550400,23,24,0,3,Chla_ugL,1.5,26.542,0.0652173913
22550400,36,37,0,3,Chla_ugL,2.49,26.542,0.1304347826
23760000,36,37,0,3,Chla_ugL,3.74,26.542,0.1304347826
23760000,58,59,0,3,Chla_ugL,0,26.542,0.04347826087
23932800,23,24,0,3,Chla_ugL,1.53,26.542,0.0652173913
